stock_id,name,buy_date,buy_price,shares,buy_cost,sell_date,sell_price,sell_net,pnl,ret_pct
4949,有成精密,2023-02-01,69.6,38,2405.36,2023-03-15,85.1,2929.82,524.46,21.8
8227,巨有科技,2023-03-16,194.0,15,2911.16,2023-03-17,203.0,3034.65,123.49,4.24
8227,巨有科技,2023-03-20,204.0,15,3061.22,2023-03-21,206.0,3079.5,18.28,0.6
2453,凌群,2023-03-22,69.7,44,3068.02,2023-04-24,69.1,3030.07,-37.96,-1.24
3629,地心引力,2023-04-25,85.3,36,3072.03,2023-04-26,86.4,3099.83,27.8,0.91
3629,地心引力,2023-04-27,87.9,35,3077.73,2023-04-28,87.8,3062.55,-15.17,-0.49
6148,驊宏資,2023-05-02,36.85,84,3096.64,2023-05-03,37.3,3122.55,25.92,0.84
6148,驊宏資,2023-05-04,42.35,73,3092.78,2023-05-05,41.3,3004.65,-88.13,-2.85
3664,安瑞-KY,2023-05-08,42.0,72,3025.21,2023-05-15,37.35,2680.06,-345.15,-11.41
3308,聯德,2023-05-16,40.45,56,2669.62,2023-06-30,41.65,2738.38,68.76,2.58
6125,廣運,2023-07-03,72.0,38,2737.09,2023-07-11,78.5,2972.86,235.77,8.61
4533,協易機,2023-07-12,33.05,90,2975.69,2023-07-13,30.75,2758.09,-217.59,-7.31
4979,華星光,2023-07-14,162.54,17,2764.26,2023-08-08,152.63,2585.85,-178.41,-6.45
2329,華泰,2023-08-09,46.8,55,2575.03,2023-08-10,45.8,2510.44,-64.59,-2.51
3483,力致,2023-08-11,158.33,18,2479.15,2023-08-14,133.59,2083.67,-395.48,-15.95
2329,華泰,2023-08-15,46.5,46,2140.0,2023-08-16,45.05,2065.08,-74.92,-3.5
2329,華泰,2023-08-17,47.5,43,2043.5,2023-08-18,48.4,2073.96,30.46,1.49
3306,鼎天,2023-08-21,71.6,29,2077.4,2023-08-22,66.0,1907.26,-170.14,-8.19
6725,矽科宏晟,2023-08-23,146.0,13,1899.0,2023-08-24,145.5,1884.83,-14.17,-0.75
2363,矽統,2023-08-25,21.84,37,1913.62,2023-08-30,22.26,1942.77,29.15,1.52
8045,達運光電,2023-08-31,85.4,22,1879.8,2023-09-14,68.0,1490.51,-389.29,-20.71
4542,科嶠,2023-09-15,65.0,23,1496.0,2023-09-22,65.5,1500.98,4.98,0.33
4542,科嶠,2023-09-25,64.8,24,1556.2,2023-09-26,63.0,1506.46,-49.74,-3.2
3715,定穎投控,2023-09-27,72.1,20,1443.0,2023-09-28,77.7,1548.34,105.34,7.3
4542,科嶠,2023-10-02,77.7,20,1555.0,2023-10-03,74.6,1486.52,-68.48,-4.4
2025,千興,2023-10-04,7.61,124,1537.66,2023-10-05,7.88,1585.41,47.75,3.11
2025,千興,2023-10-06,7.7,127,1593.45,2023-10-23,7.43,1531.0,-62.45,-3.92
2025,千興,2023-10-24,7.38,127,1527.27,2023-10-25,7.67,1580.48,53.21,3.48
2025,千興,2023-10-26,7.59,128,1583.07,2023-10-27,7.58,1574.24,-8.83,-0.56
2025,千興,2023-11-07,8.1,119,1570.66,2024-01-08,7.22,1393.92,-176.74,-11.25
3086,華義*,2024-01-09,163.0,99,1398.15,2024-01-10,175.0,1494.5,96.35,6.89
